round,group,name,i__agg_log,li,lr,money__agg_log,r__agg_log
0,agent,agent0,0.0,0.0,0.0,0.1,0.0
0,agent,agent1,1.0,1.0,0.0,0.1,0.0
0,agent,agent2,2.0,2.0,0.0,0.1,0.0
0,agent,agent3,3.0,3.0,0.0,0.1,0.0
0,agent,agent4,4.0,4.0,0.0,0.1,0.0
0,agent,agent5,5.0,5.0,0.0,0.1,0.0
0,agent,agent6,6.0,6.0,0.0,0.1,0.0
0,agent,agent7,7.0,7.0,0.0,0.1,0.0
0,agent,agent8,8.0,8.0,0.0,0.1,0.0
0,agent,agent9,9.0,9.0,0.0,0.1,0.0
1,agent,agent0,0.0,0.0,1.0,0.2,1.0
1,agent,agent1,1.0,1.0,1.0,0.2,1.0
1,agent,agent2,2.0,2.0,1.0,0.2,1.0
1,agent,agent3,3.0,3.0,1.0,0.2,1.0
1,agent,agent4,4.0,4.0,1.0,0.2,1.0
1,agent,agent5,5.0,5.0,1.0,0.2,1.0
1,agent,agent6,6.0,6.0,1.0,0.2,1.0
1,agent,agent7,7.0,7.0,1.0,0.2,1.0
1,agent,agent8,8.0,8.0,1.0,0.2,1.0
1,agent,agent9,9.0,9.0,1.0,0.2,1.0
10,agent,agent0,0.0,0.0,10.0,1.0999999999999999,10.0
10,agent,agent1,1.0,1.0,10.0,1.0999999999999999,10.0
10,agent,agent2,2.0,2.0,10.0,1.0999999999999999,10.0
10,agent,agent3,3.0,3.0,10.0,1.0999999999999999,10.0
10,agent,agent4,4.0,4.0,10.0,1.0999999999999999,10.0
10,agent,agent5,5.0,5.0,10.0,1.0999999999999999,10.0
10,agent,agent6,6.0,6.0,10.0,1.0999999999999999,10.0
10,agent,agent7,7.0,7.0,10.0,1.0999999999999999,10.0
10,agent,agent8,8.0,8.0,10.0,1.0999999999999999,10.0
10,agent,agent9,9.0,9.0,10.0,1.0999999999999999,10.0
11,agent,agent0,0.0,0.0,11.0,1.2,11.0
11,agent,agent1,1.0,1.0,11.0,1.2,11.0
11,agent,agent2,2.0,2.0,11.0,1.2,11.0
11,agent,agent3,3.0,3.0,11.0,1.2,11.0
11,agent,agent4,4.0,4.0,11.0,1.2,11.0
11,agent,agent5,5.0,5.0,11.0,1.2,11.0
11,agent,agent6,6.0,6.0,11.0,1.2,11.0
11,agent,agent7,7.0,7.0,11.0,1.2,11.0
11,agent,agent8,8.0,8.0,11.0,1.2,11.0
11,agent,agent9,9.0,9.0,11.0,1.2,11.0
12,agent,agent0,0.0,0.0,12.0,1.3,12.0
12,agent,agent1,1.0,1.0,12.0,1.3,12.0
12,agent,agent2,2.0,2.0,12.0,1.3,12.0
12,agent,agent3,3.0,3.0,12.0,1.3,12.0
12,agent,agent4,4.0,4.0,12.0,1.3,12.0
12,agent,agent5,5.0,5.0,12.0,1.3,12.0
12,agent,agent6,6.0,6.0,12.0,1.3,12.0
12,agent,agent7,7.0,7.0,12.0,1.3,12.0
12,agent,agent8,8.0,8.0,12.0,1.3,12.0
12,agent,agent9,9.0,9.0,12.0,1.3,12.0
13,agent,agent0,0.0,0.0,13.0,1.4000000000000001,13.0
13,agent,agent1,1.0,1.0,13.0,1.4000000000000001,13.0
13,agent,agent2,2.0,2.0,13.0,1.4000000000000001,13.0
13,agent,agent3,3.0,3.0,13.0,1.4000000000000001,13.0
13,agent,agent4,4.0,4.0,13.0,1.4000000000000001,13.0
13,agent,agent5,5.0,5.0,13.0,1.4000000000000001,13.0
13,agent,agent6,6.0,6.0,13.0,1.4000000000000001,13.0
13,agent,agent7,7.0,7.0,13.0,1.4000000000000001,13.0
13,agent,agent8,8.0,8.0,13.0,1.4000000000000001,13.0
13,agent,agent9,9.0,9.0,13.0,1.4000000000000001,13.0
14,agent,agent0,0.0,0.0,14.0,1.5000000000000002,14.0
14,agent,agent1,1.0,1.0,14.0,1.5000000000000002,14.0
14,agent,agent2,2.0,2.0,14.0,1.5000000000000002,14.0
14,agent,agent3,3.0,3.0,14.0,1.5000000000000002,14.0
14,agent,agent4,4.0,4.0,14.0,1.5000000000000002,14.0
14,agent,agent5,5.0,5.0,14.0,1.5000000000000002,14.0
14,agent,agent6,6.0,6.0,14.0,1.5000000000000002,14.0
14,agent,agent7,7.0,7.0,14.0,1.5000000000000002,14.0
14,agent,agent8,8.0,8.0,14.0,1.5000000000000002,14.0
14,agent,agent9,9.0,9.0,14.0,1.5000000000000002,14.0
15,agent,agent0,0.0,0.0,15.0,1.6000000000000003,15.0
15,agent,agent1,1.0,1.0,15.0,1.6000000000000003,15.0
15,agent,agent2,2.0,2.0,15.0,1.6000000000000003,15.0
15,agent,agent3,3.0,3.0,15.0,1.6000000000000003,15.0
15,agent,agent4,4.0,4.0,15.0,1.6000000000000003,15.0
15,agent,agent5,5.0,5.0,15.0,1.6000000000000003,15.0
15,agent,agent6,6.0,6.0,15.0,1.6000000000000003,15.0
15,agent,agent7,7.0,7.0,15.0,1.6000000000000003,15.0
15,agent,agent8,8.0,8.0,15.0,1.6000000000000003,15.0
15,agent,agent9,9.0,9.0,15.0,1.6000000000000003,15.0
16,agent,agent0,0.0,0.0,16.0,1.7000000000000004,16.0
16,agent,agent1,1.0,1.0,16.0,1.7000000000000004,16.0
16,agent,agent2,2.0,2.0,16.0,1.7000000000000004,16.0
16,agent,agent3,3.0,3.0,16.0,1.7000000000000004,16.0
16,agent,agent4,4.0,4.0,16.0,1.7000000000000004,16.0
16,agent,agent5,5.0,5.0,16.0,1.7000000000000004,16.0
16,agent,agent6,6.0,6.0,16.0,1.7000000000000004,16.0
16,agent,agent7,7.0,7.0,16.0,1.7000000000000004,16.0
16,agent,agent8,8.0,8.0,16.0,1.7000000000000004,16.0
16,agent,agent9,9.0,9.0,16.0,1.7000000000000004,16.0
17,agent,agent0,0.0,0.0,17.0,1.8000000000000005,17.0
17,agent,agent1,1.0,1.0,17.0,1.8000000000000005,17.0
17,agent,agent2,2.0,2.0,17.0,1.8000000000000005,17.0
17,agent,agent3,3.0,3.0,17.0,1.8000000000000005,17.0
17,agent,agent4,4.0,4.0,17.0,1.8000000000000005,17.0
17,agent,agent5,5.0,5.0,17.0,1.8000000000000005,17.0
17,agent,agent6,6.0,6.0,17.0,1.8000000000000005,17.0
17,agent,agent7,7.0,7.0,17.0,1.8000000000000005,17.0
17,agent,agent8,8.0,8.0,17.0,1.8000000000000005,17.0
17,agent,agent9,9.0,9.0,17.0,1.8000000000000005,17.0
18,agent,agent0,0.0,0.0,18.0,1.9000000000000006,18.0
18,agent,agent1,1.0,1.0,18.0,1.9000000000000006,18.0
18,agent,agent2,2.0,2.0,18.0,1.9000000000000006,18.0
18,agent,agent3,3.0,3.0,18.0,1.9000000000000006,18.0
18,agent,agent4,4.0,4.0,18.0,1.9000000000000006,18.0
18,agent,agent5,5.0,5.0,18.0,1.9000000000000006,18.0
18,agent,agent6,6.0,6.0,18.0,1.9000000000000006,18.0
18,agent,agent7,7.0,7.0,18.0,1.9000000000000006,18.0
18,agent,agent8,8.0,8.0,18.0,1.9000000000000006,18.0
18,agent,agent9,9.0,9.0,18.0,1.9000000000000006,18.0
19,agent,agent0,0.0,0.0,19.0,2.0000000000000004,19.0
19,agent,agent1,1.0,1.0,19.0,2.0000000000000004,19.0
19,agent,agent2,2.0,2.0,19.0,2.0000000000000004,19.0
19,agent,agent3,3.0,3.0,19.0,2.0000000000000004,19.0
19,agent,agent4,4.0,4.0,19.0,2.0000000000000004,19.0
19,agent,agent5,5.0,5.0,19.0,2.0000000000000004,19.0
19,agent,agent6,6.0,6.0,19.0,2.0000000000000004,19.0
19,agent,agent7,7.0,7.0,19.0,2.0000000000000004,19.0
19,agent,agent8,8.0,8.0,19.0,2.0000000000000004,19.0
19,agent,agent9,9.0,9.0,19.0,2.0000000000000004,19.0
2,agent,agent0,0.0,0.0,2.0,0.30000000000000004,2.0
2,agent,agent1,1.0,1.0,2.0,0.30000000000000004,2.0
2,agent,agent2,2.0,2.0,2.0,0.30000000000000004,2.0
2,agent,agent3,3.0,3.0,2.0,0.30000000000000004,2.0
2,agent,agent4,4.0,4.0,2.0,0.30000000000000004,2.0
2,agent,agent5,5.0,5.0,2.0,0.30000000000000004,2.0
2,agent,agent6,6.0,6.0,2.0,0.30000000000000004,2.0
2,agent,agent7,7.0,7.0,2.0,0.30000000000000004,2.0
2,agent,agent8,8.0,8.0,2.0,0.30000000000000004,2.0
2,agent,agent9,9.0,9.0,2.0,0.30000000000000004,2.0
20,agent,agent0,0.0,0.0,20.0,2.1000000000000005,20.0
20,agent,agent1,1.0,1.0,20.0,2.1000000000000005,20.0
20,agent,agent2,2.0,2.0,20.0,2.1000000000000005,20.0
20,agent,agent3,3.0,3.0,20.0,2.1000000000000005,20.0
20,agent,agent4,4.0,4.0,20.0,2.1000000000000005,20.0
20,agent,agent5,5.0,5.0,20.0,2.1000000000000005,20.0
20,agent,agent6,6.0,6.0,20.0,2.1000000000000005,20.0
20,agent,agent7,7.0,7.0,20.0,2.1000000000000005,20.0
20,agent,agent8,8.0,8.0,20.0,2.1000000000000005,20.0
20,agent,agent9,9.0,9.0,20.0,2.1000000000000005,20.0
21,agent,agent0,0.0,0.0,21.0,2.2000000000000006,21.0
21,agent,agent1,1.0,1.0,21.0,2.2000000000000006,21.0
21,agent,agent2,2.0,2.0,21.0,2.2000000000000006,21.0
21,agent,agent3,3.0,3.0,21.0,2.2000000000000006,21.0
21,agent,agent4,4.0,4.0,21.0,2.2000000000000006,21.0
21,agent,agent5,5.0,5.0,21.0,2.2000000000000006,21.0
21,agent,agent6,6.0,6.0,21.0,2.2000000000000006,21.0
21,agent,agent7,7.0,7.0,21.0,2.2000000000000006,21.0
21,agent,agent8,8.0,8.0,21.0,2.2000000000000006,21.0
21,agent,agent9,9.0,9.0,21.0,2.2000000000000006,21.0
22,agent,agent0,0.0,0.0,22.0,2.3000000000000007,22.0
22,agent,agent1,1.0,1.0,22.0,2.3000000000000007,22.0
22,agent,agent2,2.0,2.0,22.0,2.3000000000000007,22.0
22,agent,agent3,3.0,3.0,22.0,2.3000000000000007,22.0
22,agent,agent4,4.0,4.0,22.0,2.3000000000000007,22.0
22,agent,agent5,5.0,5.0,22.0,2.3000000000000007,22.0
22,agent,agent6,6.0,6.0,22.0,2.3000000000000007,22.0
22,agent,agent7,7.0,7.0,22.0,2.3000000000000007,22.0
22,agent,agent8,8.0,8.0,22.0,2.3000000000000007,22.0
22,agent,agent9,9.0,9.0,22.0,2.3000000000000007,22.0
23,agent,agent0,0.0,0.0,23.0,2.400000000000001,23.0
23,agent,agent1,1.0,1.0,23.0,2.400000000000001,23.0
23,agent,agent2,2.0,2.0,23.0,2.400000000000001,23.0
23,agent,agent3,3.0,3.0,23.0,2.400000000000001,23.0
23,agent,agent4,4.0,4.0,23.0,2.400000000000001,23.0
23,agent,agent5,5.0,5.0,23.0,2.400000000000001,23.0
23,agent,agent6,6.0,6.0,23.0,2.400000000000001,23.0
23,agent,agent7,7.0,7.0,23.0,2.400000000000001,23.0
23,agent,agent8,8.0,8.0,23.0,2.400000000000001,23.0
23,agent,agent9,9.0,9.0,23.0,2.400000000000001,23.0
24,agent,agent0,0.0,0.0,24.0,2.500000000000001,24.0
24,agent,agent1,1.0,1.0,24.0,2.500000000000001,24.0
24,agent,agent2,2.0,2.0,24.0,2.500000000000001,24.0
24,agent,agent3,3.0,3.0,24.0,2.500000000000001,24.0
24,agent,agent4,4.0,4.0,24.0,2.500000000000001,24.0
24,agent,agent5,5.0,5.0,24.0,2.500000000000001,24.0
24,agent,agent6,6.0,6.0,24.0,2.500000000000001,24.0
24,agent,agent7,7.0,7.0,24.0,2.500000000000001,24.0
24,agent,agent8,8.0,8.0,24.0,2.500000000000001,24.0
24,agent,agent9,9.0,9.0,24.0,2.500000000000001,24.0
25,agent,agent0,0.0,0.0,25.0,2.600000000000001,25.0
