state,2016 rating,2018 rating,explanation
Arizona,Safe-R,Likely-R,
California,Likely-R,Lean-R,
Connecticut,Lean-R,Toss-Up,
Delaware,Toss-Up,Lean-D,
Florida,Lean-D,Likely-D,
Hawaii,Likely-D,Safe-D,
Indiana,Safe-D,Safe-R,
Maine,Safe-R,Likely-R,
Maryland,Likely-R,Lean-R,
Massachusetts,Lean-R,Toss-Up,
Michigan,Toss-Up,Lean-D,
Minnesota Special,Likely-D,Safe-D,
Minnesota,Lean-D,Likely-D,
Mississippi Special,Likely-R,Safe-R,
Mississippi,Likely-D,Safe-D,
Missouri,Safe-D,Safe-R,
Montana,Safe-R,Likely-R,
Nebraska,Likely-R,Lean-R,
Nevada,Lean-R,Toss-Up,
New Jersey,Toss-Up,Lean-D,
New Mexico,Lean-D,Likely-D,
New York,Likely-D,Safe-D,
North Dakota,Safe-D,Safe-R,
Ohio,Safe-R,Likely-R,
Pennsylvania,Likely-R,Lean-R,
Rhode Island,Lean-R,Toss-Up,
Tennessee,Toss-Up,Lean-D,
Texas,Lean-D,Likely-D,
Utah,Likely-D,Safe-D,
Vermont,Safe-D,Safe-R,
Virginia,Safe-R,Likely-R,
Washington,Likely-R,Lean-R,
West Virginia,Lean-R,Toss-Up,
Wisconsin,Toss-Up,Lean-D,
Wyoming,Lean-D,Likely-D,
